job,firm,functional_area,type
Senior Consultant | Forensic Accounting Advisory Services | Forensic & Litigation Consulting,FTI Consulting,Forensic & Litigation,Job
Lead Software Engineer,PA Consulting,Software,Job
"Director | Financial Services, Strategic Communications",FTI Consulting,Unknown,Job
Senior Support Enginner,PA Consulting,Unknown,Job
Advisory Senior Associates | Portfolio and Programme Management Dublin,PwC,Management,Job
Marketing Executive | Communications & Marketing | Core Operations,FTI Consulting,Marketing,Job
Technology Solution Architect | Manager | Advisory Consulting - Dublin/Cork,PwC,IT Strategy,Job
Support Engineer,PA Consulting,Unknown,Job
"Consultant | Financial Services, Strategic Communications",FTI Consulting,Unknown,Job
Pre-Sales Application Engineer,PA Consulting,Unknown,Job
MC - AWS Pre-Sales - Alliance,PA Consulting,Unknown,Job
Consultant | Energy | Strategic Communications ,FTI Consulting,Management Mergers & Acquisitions Ecommerce Mobile & Apps Corporate Governance Lean & Six Sigma,Job
"Consultant | Technology, Media & Telecom, Strategic Communications",FTI Consulting,Unknown,Job
IT Sourcing Consultant,PA Consulting,Procurement Supply Chain,Job
MC - Intellectual Property Advisory - Networks,PA Consulting,Property Management,Job
"Consultant - Economics, Econometrics and Disputes | Economic & Financial Consulting",FTI Consulting,Unknown,Job
"Executive Assistant (12 Months FTC)| People and Transformation, Strategic Communications",FTI Consulting,Management Mergers & Acquisitions Ecommerce Mobile & Apps Corporate Governance Lean & Six Sigma More,Job
Operational Resilience Consultant - Financial Services,PA Consulting,Unknown,Job
Data Privacy Specialist,PA Consulting,Data Science,Job
"Director | Financial Services, Strategic Communications",FTI Consulting,Unknown,Job
Senior HR Advisor | Human Resources | Core Operations,FTI Consulting,Human Resources,Job
Cloud security Architect,PA Consulting,Cyber Security Cloud,Job
Digital Campaigns and Social Media Lead,PA Consulting,Digital Social Media,Job
Executive Assistant (12 months fixed term contract)| Economic and Financial Consulting,FTI Consulting,Unknown,Job
Senior Advisor | Human Resources | Core Operations,FTI Consulting,Human Resources,Job
DevOps Engineer,PA Consulting,Software,Job
"Consultant | Financial Services, Strategic Communications",FTI Consulting,Unknown,Job
Lead Software Engineer,PA Consulting,Software,Job
Workday HCM Lead,PA Consulting,Human Resources ERP,Job
"Senior Consultant, e-Discovery | Technology",FTI Consulting,IT Strategy,Job
"Senior Consultant, Restructuring Tax",FTI Consulting,Restructuring Finance,Job
Customer Success & Support Manager,PA Consulting,Unknown,Job
"Consultant/Senior Consultant, Data Science ",FTI Consulting,Management Mergers & Acquisitions Ecommerce Mobile & Apps Corporate Governance Lean & Six Sigma More,Job
Service Desk Analyst,PA Consulting,Unknown,Job
"Senior Director | ESG, Strategic Communications",FTI Consulting,Unknown,Job
Accounts Assistant,PA Consulting,Unknown,Job
Sourcing and Procurement Consultant,PA Consulting,Procurement Supply Chain,Job
"Project Assistant, Business Intelligence | Forensic & Litigation Consulting",FTI Consulting,Forensic & Litigation Business Intelligence,Job
"Senior Consultant/Consultant - Valuations, Disputes and Arbitration | Economic and Financial Consulting",FTI Consulting,Unknown,Job
UX/UI Designer,PA Consulting,Unknown,Job
"Consultant - Valuations, Disputes and Arbitration | Economic and Financial Consulting",FTI Consulting,Unknown,Job
Lead UX/UI Designer,PA Consulting,Unknown,Job
Global Data Privacy Director,FTI Consulting,Data Science,Job
Senior/Principal Fraud Consultant,PA Consulting,Unknown,Job
Hydrogen Technology Expert,PA Consulting,IT Strategy,Job
"Manager, Risk and Compliance | Legal |Core Operations",FTI Consulting,Risk & Compliance,Job
Global Performance Appraisal Specialist,PA Consulting,Performance Management,Job
"Senior Consultant, Life Actuarial Consulting | Forensic & Litigation Consulting",FTI Consulting,Forensic & Litigation,Job
Penetration Tester,PA Consulting,Unknown,Job
"Director, Digital Forensics | Technology",FTI Consulting,Digital Forensic & Litigation IT Strategy,Job
Senior Financial Crime Transformation Consultant,PA Consulting,Unknown,Job
Consultant | Digital and Insights | Strategic Communications,FTI Consulting,Digital,Job
Penetration Tester,PA Consulting,Unknown,Job
Senior Recruiter | Core Operations,FTI Consulting,Unknown,Job
Digital Delivery Lead,PA Consulting,Digital,Job
"Corporate Accountant, Finance & Accounting | Core Operations ",FTI Consulting,Management Mergers & Acquisitions Ecommerce Mobile & Apps Corporate Governance Lean & Six Sigma More,Job
EMEA Senior Recruiter | Core Ops,FTI Consulting,Unknown,Job
Java Engineer,PA Consulting,Software,Job
AWS DevOps Engineer,PA Consulting,Software,Job
Lead Sourcing Specialist (Talent Acquisition),FTI Consulting,Procurement Supply Chain,Job
Java Engineer,PA Consulting,Software,Job
"Real Estate Tax Advisory, Senior Consultant ",FTI Consulting,Management Mergers & Acquisitions Ecommerce Mobile & Apps Corporate Governance Lean & Six Sigma More,Job
AWS Engineer,PA Consulting,Unknown,Job
"Director, Digital Science | Corporate Finance & Restructuring",FTI Consulting,Corporate Finance Restructuring Digital Finance,Job
Managing Director Digital Delivery/Transformation | Corporate Finance & Restructuring,FTI Consulting,Corporate Finance Restructuring Digital Finance,Job
Conduct Risk Consultant – Risk & Regulation,PA Consulting,Risk & Compliance,Job
"Managing Director | Forensic Accounting & Advisory Services, Forensic & Litigation Consulting",FTI Consulting,Management Mergers & Acquisitions Ecommerce Mobile & Apps Corporate Governance Lean & Six Sigma More,Job
Software Development Consultant Apprentice,PA Consulting,Software,Job
"HR Business Partner, Human Resources | Core Operations",FTI Consulting,Human Resources,Job
Financial Crime Technology Consultant,PA Consulting,IT Strategy,Job
Senior Consultant | Capital Markets |Economic and Financial Consulting,FTI Consulting,Unknown,Job
Managing Consultant - Financial Services - Insurance (non-Life),PA Consulting,Unknown,Job
Consultant | Capital Markets | Economic and Financial Consulting,FTI Consulting,Unknown,Job
Managing Consultant - Financial Services - Life and Pensions,PA Consulting,Unknown,Job
VAT Director/Senior Director (Full-time/Part-time),FTI Consulting,Unknown,Job
"Project, Programme and Portfolio Managers and Business Case Experts - PST",PA Consulting,Unknown,Job
QA Engineer,PA Consulting,Unknown,Job
"Director, Clean Energy | Corporate Finance & Restructuring",FTI Consulting,Corporate Finance Restructuring Finance,Job
"Finance Manager, LLP Accounting | Core Operations",FTI Consulting,Finance,Job
Senior Technical Project Administrator,PA Consulting,Unknown,Job
"Senior Director, Transaction Advisory Services | Corporate Finance & Restructuring",FTI Consulting,Corporate Finance Restructuring Finance,Job
Agile Consultant - Lean Portfolio Management,PA Consulting,Management Lean & Six Sigma,Job
Senior Consultant | Analytics | Strategic Communications,FTI Consulting,Data Science,Job
Systems Engineering Consultant,PA Consulting,Unknown,Job
Senior Director | Data Science | Strategic Communications,FTI Consulting,Data Science,Job
Java Engineer,PA Consulting,Software,Job
Commercial Finance Project Administrator,PA Consulting,Finance,Job
"Legal Counsel EMEA, Legal & Risk | Core Operations ",FTI Consulting,Management Mergers & Acquisitions Ecommerce Mobile & Apps Corporate Governance Lean & Six Sigma More,Job
AWS Analytics and Machine Learning Engineer,PA Consulting,Human Resources Data Science,Job
"Senior Consultant (IT), Business Transformation | Corporate Finance & Restructuring ",FTI Consulting,Management+8Mergers & Acquisitions Corporate Finance Restructuring Ecommerce Mobile & Apps More,Job
Commercial Finance Project Administrator,PA Consulting,Finance,Job
" International/Corporate Tax, Senior Director",FTI Consulting,Management Mergers & Acquisitions Ecommerce Mobile & Apps Corporate Governance Lean & Six Sigma,Job
"Consultant, Business Transformation | Corporate Finance & Restructuring ",FTI Consulting,Management+8Mergers & Acquisitions Corporate Finance Restructuring Ecommerce Mobile & Apps More,Job
Data Scientist Consultant,PA Consulting,Data Science,Job
Group Financial Accountant,PA Consulting,Unknown,Job
Enterprise Solutions Director,PA Consulting,Unknown,Job
Cloud Security Controls Expert,PA Consulting,Cyber Security Cloud,Job
Senior Data Analyst,PA Consulting,Data Science,Job
Senior Data Strategist,PA Consulting,Data Science,Job
Data Manager Consultant,PA Consulting,Data Science,Job
Commercial Finance Project Administrator (FTC),PA Consulting,Finance,Job
Systems Architect,PA Consulting,Unknown,Job
Employment Tax Manager,PA Consulting,Finance,Job
AWS Data Engineer,PA Consulting,Data Science,Job
Operational Technology Cyber Security Consultant,PA Consulting,IT Strategy Cyber Security,Job
Senior Data Manager,PA Consulting,Data Science,Job
Data Analyst Consultant,PA Consulting,Data Science,Job
Principal Data Strategist Consultant,PA Consulting,Data Science,Job
IT Strategy Consultant,PA Consulting,Strategy IT Strategy,Job
